Region,District,Division,Area,Club ID,Club Name,Club Status,Club Join Date,Original Join Date,Membership Begin,Membership End,Member ID,Paid Status,date,link
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,4/1/2019,8/1/2013,4/1/2021,9/30/2021,3380863,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,7/1/2020,1/1/2019,10/1/2020,3/31/2021,7241748,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,7/1/2020,8/1/2018,10/1/2020,3/31/2021,7060206,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2020,1/1/2019,10/1/2020,3/31/2021,7241739,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,3/1/2020,3/1/2020,10/1/2020,3/31/2021,7751363,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,2/1/2021,2/1/2021,4/1/2021,9/30/2021,7863840,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,6/1/2020,6/1/2020,4/1/2021,9/30/2021,7781460,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,6/1/2012,4/1/2010,4/1/2021,9/30/2021,1479327,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,6/1/2012,4/1/2002,4/1/2021,9/30/2021,449344,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,2/1/2021,6/1/2012,4/1/2021,9/30/2021,2516943,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,4/1/2021,8/1/2008,4/1/2021,9/30/2021,1217751,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,2/1/2013,2/1/2013,4/1/2021,9/30/2021,3008432,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,5/1/2017,5/1/2017,4/1/2021,9/30/2021,6549796,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,5/1/2017,5/1/2017,4/1/2021,9/30/2021,6549809,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,4/1/2019,4/1/2019,10/1/2020,3/31/2021,7394946,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,4/1/2019,4/1/2019,10/1/2020,3/31/2021,7394940,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2020,8/1/2020,4/1/2021,9/30/2021,7806982,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,9/1/2020,9/1/2020,10/1/2020,3/31/2021,7808717,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,7/1/2020,7/1/2020,4/1/2021,9/30/2021,7789777,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2020,8/1/2020,4/1/2021,9/30/2021,7801508,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,9/1/2020,9/1/2020,4/1/2021,9/30/2021,7808712,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,10/1/2020,10/1/2020,4/1/2021,9/30/2021,7829192,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,3/1/2021,3/1/2021,4/1/2021,9/30/2021,7869498,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2016,8/1/2016,4/1/2021,9/30/2021,5690673,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,9/1/2016,9/1/2016,4/1/2021,9/30/2021,5750532,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,3/1/2017,3/1/2017,4/1/2021,9/30/2021,6074872,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,1/1/2018,6/1/2016,4/1/2021,9/30/2021,5561306,PAID,2021-05-06,District Email
