Club # ,Club Name,Area,Division,District,Meeting Place 1,Meeting Place Address,Meeting Day,Meeting Time,City,State/Province,Zip/Postal Code,Country,Charter Date,Election Cycle,Club Type,Open/Close,Advanced (Y/N),Club Status,Contact #s,Contact #s,Email,Web,Online Attendance,date ,link 
6062133,Diamond City Toastmasters Club,1,A,98,"607- 6th floor Western Vesu Point. Summirow Conference Hall,","Opp.  S.B.I Bank, Vesu char rasta,",Sunday,10:15 a.m.,Surat,GUJ,395007,India, 02/24/2017,SEMIAN,Community,Open,Y,ACTIVE,+91 84602 63299,,diamondcitytoastmasters@gmail.com,http://dctc.toastmastersclubs.org/,YES,2021-09-22,District Email
7164888,Mount Carmel Toastmasters Club,1,A,98,"New City Light, Althan. SURAT 9879560109","Study Circle, 3rd floor,",Sundays,10:45 AM,Surat,GUJ,395007,India, 10/01/2018,ANNUAL,Community,Open,N,ACTIVE,+91 98795 60109,,tmmelvinpereira@gmail.com,http://www.publicspeakinginsurat.com/,YES,2021-09-22,District Email
7782447,Dahej Orators Toastmasters Club,1,A,98,"Conference Room, Estate Office",Reliance Sarsaswati Township,Wednesdays,1900 - 2100 Hrs,Bharuch,GUJ,392130,India, 05/14/2020,SEMIAN,Community,Group Specific,N,ACTIVE,+91 92656 54533,,toastmastersdahej@gmail.com,,YES,2021-09-22,District Email
5306488,Vadodara Toastmasters Club,2,A,98,The Academy of Human Excellence,"50 Haribhaki Colony, Race Course , Diwalipura",All Sundays,10:00 a.m - 12:00 noon,Vadodara,GUJ,390007,India, 06/02/2016,SEMIAN,Community,Open,N,ACTIVE,+91 99204 26475,,vadodaratoastmaster@gmail.com,http://vadodara.toastmastersclubs.org/,YES,2021-09-22,District Email
6090393,Toastmasters Club of Allscripts Vadodara,2,A,98,Allscripts Vadodara Office,"10 & 11th Flrs., Atlantis Hgts",Thursday,14:00 hrs to 15:15 hrs,Vadodara,GUJ,390023,India, 04/23/2017,SEMIAN,Company,Group Specific,N,ACTIVE,+91 70383 38273,,barodatoastmasters@allscripts.com,http://tcav.easy-speak.org/,YES,2021-09-22,District Email
6886272,Toastmasters Club of Baroda (TCB),2,A,98,Tata Institute of Social Sciences 301-A Tulip Complex,Opp Vidhyut Bhavan,Every Wednesday,7:30 - 9:30 PM,Vadodara,GUJ,390007,India, 03/08/2018,SEMIAN,Community,Open,N,ACTIVE,+91 99741 17798,,toastmastersclubofbaroda@gmail.com,https://baroda.toastmastersclubs.org/,YES,2021-09-22,District Email
7842705,Vatt Thi Gujarati Toastmasters Club,2,A,98,Online,Online,2nd & 4th Saturday,6:30 - 7:45pm,Vadodara,GUJ,390009,India, 01/29/2021,ANNUAL,Community,Open,N,ACTIVE,+91 95863 75818,,vtgtoastmasters@gmail.com,,YES,2021-09-22,District Email
7854559,Investis Digital India,2,A,98,"Investis Digital India Pvt Ltd Royal House, Atlantis Lane, Near Isha Hospital","Sarabhai Campus, Wadi Wadi",1st & 3rd Tuesday,4:00 - 5:30 PM,Vadodara,GUJ,390007,India, 01/24/2021,ANNUAL,Company,Group Specific,N,ACTIVE,+91 265 2323713 / +91 9099964708 / +91 9998595308,,toastmastersindia@investdigital.com,,YES,2021-09-22,District Email
2180628,Swami Vivekanand Toastmasters Club,3,A,98,Studio.Jamin,"Club Riviera, Riviera Town,",Friday,7:00 PM,Bhopal,MP,462003,India, 06/26/2012,SEMIAN,Community,Open,N,ACTIVE,+91 93294 79559,,swamivivekanandtoastmasters@gmail.com,,YES,2021-09-22,District Email
2621397,ISC Bhopal Toastmasters International Club,3,A,98,"Office Premises of ISC Software Pvt. Ltd. 1st Floor, Conference Room # 1","Bhopal IT Plaza, Trilanga, E-8, GuImohar, Arera Colony",Monday,6:45 PM,Bhopal,MP,462 039,India, 08/07/2012,ANNUAL,Community,Open,N,ACTIVE,+91 94253 74968,,toastmasters.isc@gmail.com,http://2621397.toastmastersclubs.org/,YES,2021-09-22,District Email
