District,Division,Area,Club ID,Club Name,Club Status,Paid Status,Gender,date ,link 
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Female,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,6062133,Diamond City Toastmasters Club,ACTIVE,PAID,Female,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,Female,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7164888,Mount Carmel Toastmasters Club,ACTIVE,PAID,Female,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,1,7782447,Dahej Orators Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,Male,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,FEMALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
98,A,2,5306488,Vadodara Toastmasters Club,ACTIVE,PAID,MALE,2021-09-22,District Email
