Month, Division,Area,,Clubs,Goals <4,Goals 5-6,Goals 7-8,Goals 9-10,Members 20+,Members +5,Member Base,Member T/Date,CCs,ACs,Ldrs,CCs/Mem,ACs/Mem,Ldrs/Mem,Pos. Dist. Clubs
Jul 2015, Division A,,,21,20,1,0,0,13,0,571,582,1,1,2,0.2%,0.2%,0.3%,1
Aug 2015, Division A,,,21,20,1,0,0,14,0,624,632,4,2,4,0.6%,0.3%,0.6%,1
Sep 2015, Division A,,,21,19,1,1,0,15,0,624,668,7,4,6,1.0%,0.6%,0.9%,2
Oct 2015, Division A,,,20,16,2,2,0,10,0,600,499,9,8,15,1.8%,1.6%,3.0%,4
Nov 2015, Division A,,,21,17,2,2,0,11,0,624,554,10,9,22,1.8%,1.6%,4.0%,4
Dec 2015, Division A,,,21,15,4,0,2,11,0,624,563,17,11,29,3.0%,2.0%,5.2%,5
Jan 2016, Division A,,,21,13,4,2,2,13,1,624,601,21,11,32,3.5%,1.8%,5.3%,8
Feb 2016, Division A,,,21,13,2,4,2,13,1,624,646,27,12,38,4.2%,1.9%,5.9%,8
Mar 2016, Division A,,,21,10,4,3,4,14,1,624,672,31,14,40,4.6%,2.1%,6.0%,11
Apr 2016, Division A,,,19,8,3,4,4,8,0,620,447,31,14,41,6.9%,3.1%,9.2%,6
May 2016, Division A,,,20,9,3,4,4,8,1,640,483,31,16,47,6.4%,3.3%,9.7%,7
Jun 2016, Division A,,,20,6,3,6,5,15,1,686,644,38,18,48,5.9%,2.8%,7.5%,12
Aug 2016, Division A,,,13,13,0,0,0,13,0,439,587,1,0,7,0.2%,0.0%,1.2%,0
Sep 2016, Division A,,,13,10,3,0,0,13,0,439,598,3,1,16,0.5%,0.2%,2.7%,3
Oct 2016, Division A,,,13,10,2,1,0,10,0,439,469,3,1,17,0.6%,0.2%,3.6%,3
Nov 2016, Division A,,,14,11,2,1,0,11,0,459,533,3,1,20,0.6%,0.2%,3.8%,3
Dec 2016, Division A,,,15,11,3,1,0,12,0,490,551,5,2,22,0.9%,0.4%,4.0%,4
Jan 2017, Division A,,,16,12,2,0,2,13,0,520,600,9,3,27,1.5%,0.5%,4.5%,4
Feb 2017, Division A,,,17,10,4,0,3,13,0,540,636,12,6,27,1.9%,0.9%,4.2%,7
Mar 2017, Division A,,,17,8,6,0,3,13,0,540,656,14,6,30,2.1%,0.9%,4.6%,9
Apr 2017, Division A,,,17,7,6,0,4,13,1,537,489,15,8,36,3.1%,1.6%,7.4%,9
May 2017, Division A,,,18,8,6,0,4,13,1,567,640,15,9,36,2.3%,1.4%,5.6%,9
Jun 2017, Division A,,,17,5,7,1,4,15,1,536,703,18,9,37,2.6%,1.3%,5.3%,12
Jul 2017, Division A,,,15,15,0,0,0,14,0,581,600,1,0,5,0.2%,0.0%,0.8%,0
Aug 2017, Division A,,,15,15,0,0,0,14,0,581,619,3,0,7,0.5%,0.0%,1.1%,0
Sep 2017, Division A,,,15,14,1,0,0,15,0,581,673,3,0,8,0.4%,0.0%,1.2%,1
Oct 2017, Division A,,,15,12,3,0,0,12,0,581,513,4,1,12,0.8%,0.2%,2.3%,3
Nov 2017, Division A,,,16,12,4,0,0,12,0,613,539,5,1,17,0.9%,0.2%,3.2%,4
Dec 2017, Division A,,,16,11,5,0,0,12,0,613,550,9,1,19,1.6%,0.2%,3.5%,5
Jan 2018, Division A,,,16,11,4,1,0,14,0,613,592,12,1,27,2.0%,0.2%,4.6%,5
Feb 2018, Division A,,,17,11,2,2,2,15,0,634,637,18,2,30,2.8%,0.3%,4.7%,6
Mar 2018, Division A,,,19,13,1,2,3,16,0,675,695,22,5,36,3.2%,0.7%,5.2%,6
Apr 2018, Division A,,,21,14,1,1,5,13,0,715,464,25,12,44,5.4%,2.6%,9.5%,6
May 2018, Division A,,,20,11,3,1,5,14,0,695,487,29,15,47,6.0%,3.1%,9.7%,8
Jun 2018, Division A,,,21,10,2,4,5,17,0,714,692,39,17,57,5.6%,2.5%,8.2%,10
Jul 2018, Division A,,,16,16,0,0,0,12,0,493,473,3,3,4,0.6%,0.6%,0.8%,0
Aug 2018, Division A,,,16,16,0,0,0,13,0,492,530,4,3,10,0.8%,0.6%,1.9%,0
Sep 2018, Division A,,,16,15,1,0,0,13,1,492,546,6,3,21,1.1%,0.5%,3.8%,1
Oct 2018, Division A,,,18,14,4,0,0,12,0,535,479,8,4,26,1.7%,0.8%,5.4%,2
Nov 2018, Division A,,,18,12,4,2,0,11,1,535,484,10,5,30,2.1%,1.0%,6.2%,4
