Month,dist,division,area,Club #,Clubs,Member Base,Member T/Date,Goals T/Date,cc,add cc,ac,addl ac,ldr,add ldr,P1,P2,P3,P4,P5,P6,new members,addl members,Off Trained june,Off Trained Dec,renwl,off lst,DCP,Club status,date,source
Feb 17,98,A,01,6062133,Diamond City,20,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Mar 17,98,A,01,6062133,Diamond City,20,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Apr 17,98,A,01,6062133,Diamond City,20,23,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7,2,1,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
May 17,98,A,01,6062133,Diamond City,20,25,4,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,7,2,1,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Jun 17,98,A,01,6062133,Diamond City,20,26,5,0,0,0,0,1,1,0,0,0,0,0,0,4,2,0,7,2,1,D,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Jul 17,98,A,02,6062133,Diamond City,26,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Aug 17,98,A,02,6062133,Diamond City,26,30,3,0,0,0,0,1,0,0,0,0,0,0,0,4,6,7,0,0,2,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Sep 17,98,A,02,6062133,Diamond City,26,30,4,0,0,0,0,1,0,0,0,0,0,0,0,4,6,7,0,1,2,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Oct 17,98,A,02,6062133,Diamond City,26,29,5,0,0,0,0,1,1,0,0,0,0,0,0,4,10,7,0,1,2,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Nov 17,98,A,02,6062133,Diamond City,26,32,5,0,0,0,0,1,2,0,0,0,0,0,0,4,13,7,0,1,1,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Dec 17,98,A,02,6062133,Diamond City,26,32,5,0,0,0,0,1,3,0,0,0,0,0,0,4,13,7,0,1,2,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
Jan 18,98,A,02,6062133,Diamond City,26,32,5,1,0,0,0,1,4,0,0,0,0,0,0,4,13,7,0,1,2,,Active,2022-06-08,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&clubview=on&mon=0
