Month,Clubs,Goals <4,Goals 5-6,Goals 7-8,Goals 9-10,Members 20+,Members +5,Member Base,Member T/Date,CCs,ACs,Ldrs,CCs/Mem,ACs/Mem,Ldrs/Mem,Pos. Dist. Clubs,date,source
Jul 2015,137,136,1,0,0,98,1,3207,3453,17,4,35,0.5%,0.1%,1.0%,1,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Aug 2015,137,135,2,0,0,100,1,3420,3674,33,7,59,0.9%,0.2%,1.6%,2,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Sep 2015,136,124,11,1,0,103,1,3421,3870,48,11,85,1.2%,0.3%,2.2%,12,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Oct 2015,128,102,22,4,0,67,3,3191,2730,68,20,114,2.5%,0.7%,4.2%,23,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Nov 2015,134,104,23,7,0,74,5,3332,3046,78,23,149,2.6%,0.8%,4.9%,26,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Dec 2015,136,100,27,7,2,79,6,3408,3197,92,29,170,2.9%,0.9%,5.3%,31,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Jan 2016,137,93,27,11,6,87,8,3451,3377,116,37,195,3.4%,1.1%,5.8%,41,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Feb 2016,138,84,25,21,8,91,8,3511,3643,128,43,220,3.5%,1.2%,6.0%,48,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Mar 2016,143,70,30,29,14,98,8,3636,3890,161,53,257,4.1%,1.4%,6.6%,65,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Apr 2016,137,54,34,25,24,80,7,3620,2910,186,65,291,6.4%,2.2%,10.0%,60,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
May 2016,141,55,33,24,29,88,8,3719,3218,217,81,328,6.7%,2.5%,10.2%,67,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Jun 2016,142,44,32,24,42,100,9,3786,3589,248,103,361,6.9%,2.9%,10.1%,82,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Aug 2016,143,137,6,0,0,108,3,3661,4387,26,12,67,0.6%,0.3%,1.5%,6,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Sep 2016,152,133,17,2,0,116,4,3893,4791,43,17,104,0.9%,0.4%,2.2%,18,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Oct 2016,152,119,29,4,0,88,3,3935,3600,56,22,136,1.6%,0.6%,3.8%,29,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Nov 2016,155,117,29,9,0,93,4,4003,3782,65,26,156,1.7%,0.7%,4.1%,34,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
Dec 2016,156,114,33,9,0,96,6,4034,3926,78,27,178,2.0%,0.7%,4.5%,38,2021-05-19,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&mon=0
