Month,Clubs,Goals <4,Goals 5-6,Goals 7-8,Goals 9-10,Members 20+,Members +5,Member Base,Member T/Date,CCs,ACs,Ldrs,CCs/Mem,ACs/Mem,Ldrs/Mem,Pos. Dist. clubs,div,date,source
Jul 2015,21,20,1,0,0,13,0,571,582,1,1,2,0.2%,0.2%,0.3%,1,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Aug 2015,21,20,1,0,0,14,0,624,632,4,2,4,0.6%,0.3%,0.6%,1,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Sep 2015,21,19,1,1,0,15,0,624,668,7,4,6,1.0%,0.6%,0.9%,2,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Oct 2015,20,16,2,2,0,10,0,600,499,9,8,15,1.8%,1.6%,3.0%,4,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Nov 2015,21,17,2,2,0,11,0,624,554,10,9,22,1.8%,1.6%,4.0%,4,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Dec 2015,21,15,4,0,2,11,0,624,563,17,11,29,3.0%,2.0%,5.2%,5,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Jan 2016,21,13,4,2,2,13,1,624,601,21,11,32,3.5%,1.8%,5.3%,8,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Feb 2016,21,13,2,4,2,13,1,624,646,27,12,38,4.2%,1.9%,5.9%,8,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Mar 2016,21,10,4,3,4,14,1,624,672,31,14,40,4.6%,2.1%,6.0%,11,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
Apr 2016,19,8,3,4,4,8,0,620,447,31,14,41,6.9%,3.1%,9.2%,6,A,2022-06-03,https://www.marshalls.org/tmtools/DCP_Hist.cgi?club=&dist=98&div=&area=&divview=on&mon=0
