Division,Distinguished Division Goals,SelectDist.Div'nAdd'lGoal,Pres. Dist. DivisionAdd'l Goals,Overall Score
Paid clubs,Dist. clubs,Score,Dist. clubs,Paid clubs,Dist. clubs
M,20 of 16,0 of 7,50.0%,0 of 8,20 of 17,0 of 8,62.5%
B,24 of 20,0 of 8,50.0%,0 of 9,24 of 21,0 of 10,60.0%
S,19 of 16,0 of 7,50.0%,0 of 8,19 of 17,0 of 8,59.4%
W,18 of 16,0 of 7,50.0%,0 of 8,18 of 17,0 of 8,56.2%
P,19 of 17,0 of 7,50.0%,0 of 8,19 of 18,0 of 9,55.9%
A,20 of 18,0 of 8,50.0%,0 of 9,20 of 19,0 of 9,55.6%
O,14 of 13,0 of 6,50.0%,0 of 6,14 of 14,0 of 7,53.8%
F,15 of 14,0 of 6,50.0%,0 of 7,15 of 15,0 of 7,53.6%
E,16 of 15,0 of 6,50.0%,0 of 7,16 of 16,0 of 8,53.3%
C,19 of 18,0 of 8,50.0%,0 of 9,19 of 19,0 of 9,52.8%
J,9 of 9,0 of 4,50.0%,0 of 5,9 of 10,0 of 5,50.0%
N,13 of 13,0 of 6,50.0%,0 of 6,13 of 14,0 of 7,50.0%
G,16 of 16,0 of 7,50.0%,0 of 8,16 of 17,0 of 8,50.0%
H,16 of 17,0 of 7,47.1%,0 of 8,16 of 18,0 of 9,47.1%
D,16 of 19,0 of 8,42.1%,0 of 9,16 of 20,0 of 10,42.1%
