District,Division,Area,Club,Clubname,Clubest,Clubstatus,Clubaddr1,Clubaddr2,Clubcity,Clubstate,Clubzip,Clubcountry,Clubphone,Clubday_o,Clubtime_o,Clubday,Clubtime,Clublen,Clubfreq,Clubopen,Cluburl1,Cluburl2,Clubwebstat1,Clubwebstat2,Clubemail,Clubadvanced,date,source
98,A,01,5346499,Gravitas,2016-03-17,Ineligible,1st Floor Executive Room (MasterCard Vadodara),"Ohm House II, Ohm Business Park",Vadodara,GUJ,390023,India,+91-265-3001801,Wednesday,9:00 - 10:00 a.m.,Wed,09:00:00,60,W1,E,,,None,None,kumarsambhav.sharma@mastercard.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,01,6062133,Diamond City Toastmasters Club,2017-02-24,Active,"607- 6th floor Western Vesu Point. Summirow Conference Hall,","Opp.  S.B.I Bank, Vesu char rasta,",Surat,GUJ,395007,India,+91 84602 63299,Sunday,10:15 a.m.,Sun,10:15:00,0,W1,O,dctc.toastmastersclubs.org/,www.facebook.com/surattoastmasters,FTH3,Facebook,diamondcitytoastmasters@gmail.com,Yes,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,01,7164888,Mount Carmel Toastmasters Club,2018-10-01,Active,"New City Light, Althan. SURAT 9879560109","Study Circle, 3rd floor,",Surat,GUJ,395007,India,+91 98795 60109,Sundays,10:45 AM,Sun,10:45:00,0,W1,O,www.publicspeakinginsurat.com/,www.facebook.com/mount.carmel.395669,Invalid-noIPaddress,Facebook,tmmelvinpereira@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,01,7782447,Dahej Orators Toastmasters Club,2020-05-14,Active,"Conference Room, Estate Office",Reliance Sarsaswati Township,Bharuch,GUJ,392130,India,+91 92656 54533,Wednesdays,1900 - 2100 Hrs,Wed,19:00:00,120,W1,E,,,None,None,toastmastersdahej@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,02,5306488,Vadodara Toastmasters Club,2016-06-02,Active,The Academy of Human Excellence,"50 Haribhaki Colony, Race Course , Diwalipura",Vadodara,GUJ,390007,India,+91 99204 26475,All Sundays,10:00 a.m - 12:00 noon,Sun,10:00:00,120,W1,O,vadodara.toastmastersclubs.org/,www.facebook.com/vadodaratoastmasters,FTH3,Facebook,vadodaratoastmaster@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,02,6090393,Toastmasters Club of Allscripts Vadodara,2017-04-23,Active,Allscripts Vadodara Office,"10 & 11th Flrs., Atlantis Hgts",Vadodara,GUJ,390023,India,+91 70383 38273,Thursday,14:00 hrs to 15:15 hrs,Thu,14:00:00,75,W1,E,tcav.easy-speak.org/,,Invalid--SSL,None,barodatoastmasters@allscripts.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,02,6886272,Toastmasters Club of Baroda (TCB),2018-03-08,Active,Tata Institute of Social Sciences  301-A Tulip Complex,Opp Vidhyut Bhavan,Vadodara,GUJ,390007,India,+91 99741 17798,Every Wednesday,7:30 - 9:30 PM,Wed,19:30:00,120,W1,O,baroda.toastmastersclubs.org/,www.facebook.com/Toastmasters-Club-of-Baroda-118488712182637,FTH3,Facebook,toastmastersclubofbaroda@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,02,7842705,Vatt Thi Gujarati Toastmasters Club,2021-01-29,Active,Online,Online,Vadodara,GUJ,390009,India,+91 95863 75818,2nd & 4th Saturday,6:30 - 7:45pm,Sat,18:30:00,75,M2,O,,,None,None,vtgtoastmasters@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,02,7854559,Investis Digital India,2021-01-24,Active,"Investis Digital India Pvt Ltd Royal House, Atlantis Lane, Near Isha Hospital","Sarabhai Campus, Wadi Wadi",Vadodara,GUJ,390007,India,+91 265 2323713 / +91 9099964708 / +91 9998595308,1st & 3rd Tuesday,4:00 - 5:30 PM,Tue,16:00:00,90,M2,E,,,None,None,toastmastersindia@investdigital.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,03,2180628,Swami Vivekanand Toastmasters Club,2012-06-26,Active,Studio.Jamin,"Club Riviera, Riviera Town,",Bhopal,MP,462003,India,+91 93294 79559,Friday,7:00 PM,Fri,19:00:00,0,W1,O,,www.facebook.com/Swami-Vivekanand-Toastmasters-Club-442005016540769/,None,Facebook,swamivivekanandtoastmasters@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,03,2621397,ISC Bhopal Toastmasters International Club,2012-08-07,Active,"Office Premises of ISC Software Pvt. Ltd. 1st Floor, Conference Room # 1","Bhopal IT Plaza, Trilanga, E-8, GuImohar, Arera Colony",Bhopal,MP,462 039,India,+91 94253 74968,Monday,6:45 PM,Mon,18:45:00,0,W1,O,2621397.toastmastersclubs.org/,www.facebook.com/ISCBhopalTMIClub,FTH3,Facebook,toastmasters.isc@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,03,7240051,Bhopal Toastmasters Club,2019-01-03,Active,Dylogg Coworking,"B 66, Chetak Bridge, Gautam Nagar",Bhopal,MP,462024,India,+91 89895 68023,Sundays,10:45 AM,Sun,10:45:00,0,W1,O,bhopal.toastmastersclubs.org/,m.facebook.com/ToastmastersBhopal,FTH3,Facebook,bhopaltoastmasters@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,03,7525513,Samvaad Toastmasters Club,2019-08-10,Active,Baithak - The Art House,"10-A, near Nalanda School",Bhopal,MP,462016,India,+91 83192 82273,Saturdays,7:00 PM,Sat,19:00:00,0,W1,O,,,None,None,samvaadtm@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,03,7730165,Gwalior Toastmasters Club,2020-02-18,Ineligible,Ashiyana Complex,"Ashiyana Complex, Phoolbagh",Gwalior,MP,474011,India,+91 8839418165,Sundays,11:00 AM - 12:00 PM,Sun,11:00:00,60,W1,O,,,None,None,gwaliortoastmasters@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,04,2587096,Transcendence,2013-06-13,Active,"SGSITS College, DOMS Seminar Hall ATC Building 2nd Floor, Indore.","ATC Building, SGSITS, Vallabh Nagar",Indore,MP,452003,India,+91 94245 66853,Saturday,6:00 pm,Sat,18:00:00,0,W1,O,transcendence.toastmastersclubs.org/,www.facebook.com/groups/341302959284940,FTH3,Facebook,hkhandelwal2503@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,04,6692382,Impact Toastmasters Club,2017-10-03,Active,"IEPS Education Pvt.Ltd. D-79, Shopping Complex, Opposite Press Complex, LIG Road.","IEPS Education Pvt.L D-79, shopping",INDORE,MP,452001,India,+91 94259 65922,Sunday,11:00 am,Sun,11:00:00,0,W1,O,www.instagram.com/impact.toastmasters.club/,m.facebook.com/Impact-Toastmasters-839750869532676/?ref=bookmarks,Invalid--429,Facebook,vikasparyani123@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,04,6977979,TCS Maitree Toastmasters Club Indore,2018-05-02,Active,MS Teams (Virtual meeting) Conference Room - TCS Indore,"Tata Consultancy, Super Corridor",Indore,MP,452018,India,+91 78794 53118,Saturday,11:00 AM,Sat,11:00:00,0,W1,E,,www.facebook.com/groups/indore.toastmasters/?ref=share,None,Facebook,indore.toastmasters@tcs.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,04,7235362,Avantika Toastmasters Club,2018-12-18,Active,Avantika University,"Survey 8, Vishwanathpuram",Ujjain,MP,456006,India,+91 93266 11804,Wednesdays,6:30 - 8:00 PM,Wed,18:30:00,90,W1,E,,,None,None,jagriti.kale@avantika.edu.in,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,04,7691809,Beyond Key Toastmasters Club,2019-11-26,Ineligible,"Company Office, Indore 901 A, 9th Floor, NRK Business Park","Scheme #54, Vijay Nagar Square",Indore,MP,452010,India,9827555887,Thursdays,3:00 PM,Thu,15:00:00,0,W1,O,www.beyondkey.com,,Invalid--SSL,None,amruta.gupte@beyondkey.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,A,04,7806306,InfoBeans Toastmasters Club,2020-08-20,Active,"InfoBeans Technologies Limited, 2nd Floor","Crystal IT Park, Bhawarkua Main Rd",Indore,MP,452001,India,+91 8879586233,Fridays,10 to 11:30 AM,Fri,00:00:01,90,W1,E,,,None,None,nupur.doshi@infobeans.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
