Rank,District,Percent,date,link
1,116,90.65%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
2,121,77.84%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
3,81,77.67%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
4,94,74.55%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
5,82,73.91%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
6,98,73.44%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
7,114,72.50%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
8,118,72.35%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
9,105,70.95%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
10,122,69.05%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
11,91,67.96%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
12,92,67.63%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
13,47,67.55%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
14,102,65.32%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
15,51,64.74%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
16,85,63.41%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
17,41,63.08%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
18,120,62.07%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
19,97,61.02%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
20,71,60.99%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
21,80,60.87%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
22,95,60.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
23,U,60.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
24,75,58.90%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
25,109,58.70%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
26,59,58.21%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
27,89,58.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
28,113,57.25%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
29,74,56.06%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
30,87,55.88%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
31,34,55.78%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
32,46,54.55%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
33,79,54.35%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
34,20,52.53%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
35,88,52.13%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
36,119,50.46%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
37,111,50.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
38,14,49.67%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
39,60,48.44%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
40,104,47.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
41,101,45.93%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
42,38,45.05%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
43,100,44.79%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
44,4,44.36%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
45,117,44.07%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
46,123,43.79%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
47,43,42.99%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
48,83,42.77%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
49,57,42.76%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
50,107,42.70%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
51,67,42.49%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
52,76,42.29%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
53,36,41.15%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
54,110,40.59%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
55,44,39.90%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
56,112,39.41%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
57,56,39.39%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
58,5,39.31%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
59,30,39.02%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
60,27,37.96%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
61,108,36.44%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
62,86,36.24%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
63,25,36.11%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
64,70,36.02%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
65,18,36.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
66,72,35.65%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
67,52,35.64%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
68,31,35.33%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
69,29,35.21%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
70,61,34.85%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
71,49,34.72%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
72,50,34.02%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
73,55,33.85%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
74,48,33.06%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
75,103,33.04%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
76,13,32.91%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
77,96,31.75%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
78,69,31.18%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
79,10,31.07%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
80,12,31.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
81,90,30.67%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
82,F,30.43%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
83,53,30.23%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
84,1,30.18%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
85,77,29.87%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
86,63,29.41%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
87,42,29.41%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
88,84,29.10%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
89,26,28.82%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
90,66,28.57%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
91,65,28.42%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
92,73,28.19%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
93,2,28.12%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
94,93,26.83%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
95,21,26.12%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
96,8,26.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
97,37,25.93%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
98,3,24.62%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
99,17,24.42%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
100,115,24.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
101,28,22.81%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
102,39,22.54%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
103,7,21.43%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
104,33,21.33%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
105,11,21.28%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
106,16,20.24%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
107,40,19.88%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
108,15,19.48%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
109,54,19.12%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
110,106,18.94%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
111,35,18.18%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
112,23,18.07%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
