Club Goal (307 clubs),Count,Percent,date,link
Member qualification: 20+ OR +5,225,73.3%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
20+ members paid,219,71.3%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
+5 members from July 1 base,59,19.2%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 1 (4 L1s),25,8.1%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 2 (2 L2s),39,12.7%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 3 (2 more L2s),12,3.9%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 4 (2 L3s),36,11.7%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
"Goal 5 (1 L4, L5, or DTM)",81,26.4%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
"Goal 6 (1 more L4, L5, or DTM)",44,14.3%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 7 (4 new members),81,26.4%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 8 (4 more new members),32,10.4%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 9 (officers trained),0,0.0%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
4+ officers trained (Jun-Aug),277,90.2%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
4+ officers trained (Nov-Feb),0,0.0%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
Goal 10 (paperwork),70,22.8%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
1+ dues renewals on time,72,23.5%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
1+ officer lists on time,280,91.2%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
5-6 goals,14,4.6%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
7-8 goals,5,1.6%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
9-10 goals,2,0.7%,2021-09-14,https://reports2.toastmasters.org/District.cgi?dist=98
