"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"98","A","01","02472534","Amdavad Toastmasters Club","22","0","44","12","56","0","78","",""
"98","A","01","06931486","Heritage City Toastmasters Club","15","0","19","0","19","0","34","",""
"98","A","01","07709614","CorpOrate Toastmasters Club","6","0","15","1","16","0","22","",""
"98","A","02","05306488","Vadodara Toastmasters Club","25","0","30","0","30","0","55","",""
"98","A","02","06090393","Toastmasters Club of Allscripts Vadodara","8","0","17","5","22","0","30","",""
"98","A","02","06886178","Apidel Toastmasters Club","0","0","0","0","0","0","0",""," Susp 08/31/20"
"98","A","02","06886272","Toastmasters Club of Baroda (TCB)","16","0","22","22","44","0","60","",""
"98","A","02","07842705","Vatt Thi Gujarati Toastmasters Club","1","0","0","21","21","13","35","","Charter 01/29/21"
"98","A","02","07854559","Investis Digital India","0","0","0","20","20","20","40","","Charter 01/24/21"
"98","A","03","02180628","Swami Vivekanand Toastmasters Club","13","0","13","3","16","0","29","",""
"98","A","03","02621397","ISC Bhopal Toastmasters International Club","3","0","10","0","10","0","13","",""
"98","A","03","07240051","Bhopal Toastmasters Club","20","0","18","0","18","0","38","",""
"98","A","03","07525513","Samvaad Toastmasters Club","8","0","8","0","8","0","16","",""
"98","A","03","07730165","Gwalior Toastmasters Club","1","1","2","0","3","0","4","",""
"98","A","04","02587096","Transcendence","18","0","22","15","37","0","55","",""
"98","A","04","06692382","Impact Toastmasters Club","14","0","12","0","12","0","26","",""
"98","A","04","06977979","TCS Maitree Toastmasters Club Indore","14","0","14","0","14","0","28","",""
"98","A","04","07235362","Avantika Toastmasters Club","8","1","18","2","21","0","29","",""
"98","A","04","07691809","Beyond Key Toastmasters Club","5","0","0","0","0","0","5","",""
"98","A","04","07806306","InfoBeans Toastmasters Club","3","0","13","1","14","21","38","","Charter 08/20/20"
"98","A","05","03220784","TCS BE@T Gandhinagar","20","0","24","24","48","0","68","",""
"98","A","05","06839027","TCS KALPAK TOASTMASTERS CLUB","1","0","9","0","9","0","10","",""
"98","A","05","07636059","Gandhinagar Toastmasters Club","13","0","19","0","19","0","32","",""
"98","B","01","01135184","Bombay Toastmasters","13","0","42","15","57","0","70","",""
"98","B","01","02854357","Eminent Toastmasters Club","17","0","37","34","71","0","88","",""
"98","B","01","04297290","NMIMS Mumbai Toastmasters Club (NMTC)","29","0","21","0","21","0","50","",""
"98","B","01","07770358","Leaders Connect Toastmasters Club","9","0","16","0","16","0","25","",""
"98","B","02","01447379","Mahindra Toastmasters Club","9","0","22","1","23","0","32","",""
"98","B","02","05235362","DB Mumbai Toastmasters Club","9","0","3","6","9","0","18","",""
"98","B","02","06786470","Chatterati Toastmasters Club","14","0","29","16","45","0","59","",""
"98","B","02","07770363","Articulators","17","0","14","0","14","0","31","",""
"98","B","02","07840662","Mumbai Speakers Toastmasters Club","0","0","0","20","20","20","40","","Charter 01/01/21"
"98","B","02","07854983","VJTI Toastmasters Club","0","0","0","20","20","18","38","","Charter 01/25/21"
"98","B","03","02543055","Tech Talkers","31","0","19","0","19","0","50","",""
"98","B","03","04002291","Oracle Mumbai","6","0","12","1","13","0","19","",""
"98","B","03","04764536","JPMC Malad Toastmasters","4","0","16","7","23","0","27","",""
