Club,Name,Educ awards,July 1 base,Ratio,date,link
6097544,Toastmasters for Pune Entrepreneurs,36,25,1.440,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
7235362,Avantika Toastmasters Club,9,11,0.818,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
7908104,Toastmasters For Cashflow Entrepreneurs,11,14,0.786,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
6604804,Bibvewadi Toastmasters Club,16,21,0.762,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
6786792,WIPRO Rendezvous Toastmasters Club of Pune,6,8,0.750,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
7065798,Sobo Toastmasters,22,30,0.733,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
1214543,GOA YMCA Toastmasters Club,8,13,0.615,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
2543055,Tech Talkers,23,38,0.605,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
7448369,Toastmasters for Pune Entrepreneurs 2.0,17,29,0.586,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
2180628,Swami Vivekanand Toastmasters Club,10,19,0.526,2021-10-02,https://reports2.toastmasters.org/District.cgi?9=98
